time	x_norm	y_norm
0.000000	0.812	0.435
0.008011	0.640	0.416
0.020190	0.640	0.416
0.027931	0.640	0.415
0.039970	0.637	0.418
0.052139	0.637	0.418
0.060014	0.636	0.418
0.071998	0.636	0.419
0.083991	0.635	0.420
0.091977	0.636	0.419
0.104024	0.635	0.422
0.111976	0.634	0.423
0.123993	0.634	0.423
0.135965	0.634	0.423
0.143982	0.635	0.421
0.156000	0.633	0.421
0.163989	0.633	0.423
0.176011	0.633	0.423
0.187991	0.634	0.422
0.195947	0.633	0.424
0.208006	0.633	0.423
0.219970	0.634	0.421
0.227945	0.633	0.422
0.240005	0.632	0.420
0.247956	0.630	0.421
0.260003	0.597	0.431
0.271996	0.522	0.440
0.279998	0.456	0.446
0.291993	0.430	0.454
0.299953	0.429	0.456
0.311967	0.429	0.455
0.323957	0.429	0.456
0.331949	0.429	0.458
0.344036	0.429	0.459
0.355997	0.428	0.459
0.364007	0.429	0.459
0.375996	0.427	0.462
0.383971	0.427	0.464
0.396008	0.427	0.464
0.407969	0.427	0.464
0.415961	0.427	0.463
0.427998	0.425	0.465
0.436007	0.425	0.467
0.448003	0.423	0.467
0.459985	0.405	0.467
0.468031	0.375	0.460
0.480010	0.366	0.464
0.491966	0.366	0.466
0.499972	0.367	0.464
0.511956	0.367	0.463
0.520050	0.366	0.465
0.531985	0.366	0.465
0.544003	0.365	0.468
0.552142	0.365	0.470
0.563995	0.364	0.471
0.571968	0.363	0.472
0.584016	0.364	0.473
0.595955	0.363	0.474
0.603956	0.363	0.473
0.616045	0.363	0.477
0.628052	0.363	0.476
0.635994	0.362	0.477
0.647994	0.362	0.478
0.655955	0.361	0.478
0.667977	0.361	0.479
0.679973	0.361	0.480
0.688046	0.360	0.482
0.699959	0.361	0.481
0.707996	0.360	0.482
0.720003	0.363	0.479
0.732010	0.396	0.473
0.740010	0.438	0.471
0.752080	0.458	0.472
0.764032	0.456	0.471
0.771974	0.454	0.473
0.784016	0.454	0.477
0.791955	0.454	0.475
0.804002	0.453	0.477
0.816062	0.453	0.479
0.824012	0.452	0.475
0.836011	0.452	0.477
0.843997	0.453	0.476
0.855974	0.451	0.477
0.868001	0.450	0.478
0.876000	0.450	0.481
0.888017	0.449	0.483
0.900005	0.448	0.482
0.907997	0.448	0.479
0.920011	0.448	0.476
0.927992	0.449	0.475
0.939975	0.449	0.477
0.952022	0.449	0.479
0.959972	0.449	0.482
0.972020	0.448	0.483
0.980019	0.447	0.483
0.991968	0.449	0.480
1.004002	0.448	0.479
1.012016	0.448	0.478
1.024008	0.449	0.479
1.036023	0.449	0.480
1.043955	0.471	0.473
1.056015	0.531	0.467
1.063955	0.580	0.469
1.075996	0.588	0.471
1.088001	0.583	0.468
1.095989	0.584	0.469
1.108000	0.584	0.467
1.120013	0.583	0.468
1.127969	0.583	0.471
1.139989	0.583	0.471
1.147990	0.583	0.471
1.160021	0.583	0.472
1.172013	0.583	0.475
1.180011	0.583	0.475
1.192011	0.583	0.475
1.199961	0.584	0.474
1.211997	0.584	0.472
1.224012	0.584	0.474
1.231965	0.584	0.473
1.244007	0.584	0.468
1.256015	0.584	0.469
1.264000	0.584	0.471
1.276011	0.584	0.474
1.284037	0.583	0.475
1.296041	0.583	0.476
1.307974	0.584	0.474
1.316036	0.597	0.471
1.328016	0.633	0.469
1.336025	0.660	0.468
1.348013	0.664	0.469
1.360004	0.661	0.472
1.367968	0.661	0.473
1.380014	0.659	0.473
1.392013	0.660	0.473
1.400017	0.660	0.474
1.412007	0.659	0.474
1.419989	0.659	0.475
1.432007	0.659	0.475
1.444006	0.659	0.476
1.452069	0.659	0.478
1.464004	0.642	0.479
1.471972	0.589	0.470
1.484034	0.542	0.466
1.495971	0.519	0.469
1.503966	0.518	0.474
1.516056	0.520	0.474
1.528013	0.519	0.474
1.536023	0.520	0.476
1.548018	0.520	0.474
1.555963	0.522	0.473
1.568043	0.520	0.475
1.580112	0.520	0.476
1.588028	0.520	0.476
1.599978	0.519	0.477
1.607966	0.519	0.475
1.620029	0.520	0.473
1.632007	0.519	0.474
1.640007	0.518	0.476
1.652088	0.518	0.480
1.664004	0.519	0.482
1.672023	0.519	0.483
1.684004	0.518	0.482
1.691976	0.518	0.481
1.703993	0.518	0.477
1.716008	0.517	0.479
1.724003	0.517	0.479
1.736020	0.517	0.481
1.743962	0.517	0.481
1.756023	0.517	0.479
1.768075	0.517	0.477
1.776001	0.517	0.478
1.787988	0.517	0.478
1.800035	0.516	0.481
1.808013	0.516	0.481
1.820022	0.515	0.480
1.827962	0.516	0.481
1.840024	0.518	0.477
1.852025	0.546	0.468
1.860009	0.582	0.468
1.871992	0.603	0.468
1.879996	0.602	0.470
1.891987	0.601	0.470
1.904028	0.601	0.472
1.911967	0.601	0.473
1.924018	0.600	0.473
1.936021	0.601	0.470
1.944015	0.600	0.468
1.956033	0.602	0.465
1.964012	0.601	0.467
1.976019	0.600	0.470
1.988028	0.598	0.474
1.996031	0.598	0.472
2.008018	0.598	0.472
2.016028	0.597	0.474
2.028011	0.597	0.472
2.040022	0.598	0.470
2.047993	0.598	0.470
2.059993	0.598	0.469
2.072035	0.599	0.471
2.080026	0.597	0.472
2.092006	0.597	0.473
2.099964	0.597	0.472
2.112004	0.597	0.471
2.124015	0.597	0.471
2.131975	0.597	0.473
2.144017	0.598	0.470
2.152044	0.608	0.470
2.164006	0.642	0.470
2.176012	0.665	0.474
2.183987	0.664	0.475
2.196005	0.663	0.475
2.208012	0.663	0.478
2.216035	0.664	0.479
2.228013	0.663	0.479
